"Legacy source ID","Current source URL","Current product name","Current category","Current displayed price (SOURCE VALUE, RUB)","Current price unit (SOURCE VALUE)","Dimensions (SOURCE VALUE)","Current availability text (SOURCE VALUE)","Existing slug","SKU","Launch status","OWNER CONFIRMED PRICE","OWNER CONFIRMED PRICE UNIT","OWNER CONFIRMED SALE UNIT","OWNER CONFIRMED MIN QUANTITY","OWNER CONFIRMED QUANTITY STEP","OWNER CONFIRMED DIMENSIONS","OWNER CONFIRMED AVAILABILITY","OWNER CONFIRMED CATEGORY","Owner notes","OWNER CONFIRMED FEATURED","OWNER CONFIRMED AVAILABILITY DISPLAY","OWNER CONFIRMED PANEL SIZE CM","OWNER CONFIRMED PANEL AREA M2","ORDERABLE WHILE AVAILABILITY UNASSIGNED"
"339596278102","https://marmixflex.ru/tproduct/1706353951-339596278102-arabeska","Арабеска","Гибкий мрамор","2 000","за кв.м","","","arabeska","MF-MAR-0054","INCLUDE","2 000","м²","м²","1 sheet","1 sheet","142 × 284 см (1.42 × 2.84 м); площадь 4.0328 м²","","Гибкий мрамор","","NO","hidden until admin assignment","142 × 284","4.0328","NO"
"386812190212","https://marmixflex.ru/tproduct/1706353951-386812190212-arabeskato","Арабескато","Гибкий мрамор","2 000","за кв.м","","","arabeskato","MF-MAR-0066","INCLUDE","2 000","м²","м²","1 sheet","1 sheet","142 × 284 см (1.42 × 2.84 м); площадь 4.0328 м²","","Гибкий мрамор","","NO","hidden until admin assignment","142 × 284","4.0328","NO"
"533035573522","https://marmixflex.ru/tproduct/1706353951-533035573522-auro-puro","Ауро Пуро","Гибкий мрамор","2 000","за кв.м","","","auro-puro","MF-MAR-0085","INCLUDE","2 000","м²","м²","1 sheet","1 sheet","142 × 284 см (1.42 × 2.84 м); площадь 4.0328 м²","","Гибкий мрамор","","NO","hidden until admin assignment","142 × 284","4.0328","NO"
"277764708262","https://marmixflex.ru/tproduct/1706353951-277764708262-barokko","Барокко","Гибкий мрамор","2 000","за кв.м","","","barokko","MF-MAR-0040","INCLUDE","2 000","м²","м²","1 sheet","1 sheet","142 × 284 см (1.42 × 2.84 м); площадь 4.0328 м²","","Гибкий мрамор","","NO","hidden until admin assignment","142 × 284","4.0328","NO"
"563909225352","https://marmixflex.ru/tproduct/1706353951-563909225352-bellariya","Беллария","Гибкий мрамор","2 000","за кв.м","","","bellariya","MF-MAR-0091","INCLUDE","2 000","м²","м²","1 sheet","1 sheet","142 × 284 см (1.42 × 2.84 м); площадь 4.0328 м²","","Гибкий мрамор","","NO","hidden until admin assignment","142 × 284","4.0328","NO"
"211616502292","https://marmixflex.ru/tproduct/1706353951-211616502292-beton","Бетон","Гибкий мрамор","2 000","за кв.м","","","beton","MF-MAR-0028","INCLUDE","2 000","м²","м²","1 sheet","1 sheet","142 × 284 см (1.42 × 2.84 м); площадь 4.0328 м²","","Гибкий мрамор","","NO","hidden until admin assignment","142 × 284","4.0328","NO"
"677403998182","https://marmixflex.ru/tproduct/1706353951-677403998182-beton-loft","Бетон Лофт","Гибкий мрамор","2 000","за кв.м","","","beton-loft","MF-MAR-0114","INCLUDE","2 000","м²","м²","1 sheet","1 sheet","142 × 284 см (1.42 × 2.84 м); площадь 4.0328 м²","","Гибкий мрамор","","NO","hidden until admin assignment","142 × 284","4.0328","NO"
"233641601642","https://marmixflex.ru/tproduct/1706353951-233641601642-briz","Бриз","Гибкий мрамор","2 000","за кв.м","","","briz","MF-MAR-0032","INCLUDE","2 000","м²","м²","1 sheet","1 sheet","142 × 284 см (1.42 × 2.84 м); площадь 4.0328 м²","","Гибкий мрамор","","NO","hidden until admin assignment","142 × 284","4.0328","NO"
"326609218562","https://marmixflex.ru/tproduct/1706353951-326609218562-burya","Буря","Гибкий мрамор","2 000","за кв.м","","","burya","MF-MAR-0048","INCLUDE","2 000","м²","м²","1 sheet","1 sheet","142 × 284 см (1.42 × 2.84 м); площадь 4.0328 м²","","Гибкий мрамор","","NO","hidden until admin assignment","142 × 284","4.0328","NO"
"286454206442","https://marmixflex.ru/tproduct/1706353951-286454206442-vait-dzheit-ais","Вайт джейт айс","Гибкий мрамор","2 000","за кв.м","","","vait-dzheit-ais","MF-MAR-0043","INCLUDE","2 000","м²","м²","1 sheet","1 sheet","142 × 284 см (1.42 × 2.84 м); площадь 4.0328 м²","","Гибкий мрамор","","NO","hidden until admin assignment","142 × 284","4.0328","NO"
"114972893822","https://marmixflex.ru/tproduct/1706353951-114972893822-valerian","Валериан","Гибкий мрамор","2 000","за кв.м","","","valerian","MF-MAR-0005","INCLUDE","2 000","м²","м²","1 sheet","1 sheet","142 × 284 см (1.42 × 2.84 м); площадь 4.0328 м²","","Гибкий мрамор","","NO","hidden until admin assignment","142 × 284","4.0328","NO"
"282429101202","https://marmixflex.ru/tproduct/1706353951-282429101202-valerian-lait","Валериан лайт","Гибкий мрамор","2 000","за кв.м","","","valerian-lait","MF-MAR-0042","INCLUDE","2 000","м²","м²","1 sheet","1 sheet","142 × 284 см (1.42 × 2.84 м); площадь 4.0328 м²","","Гибкий мрамор","","NO","hidden until admin assignment","142 × 284","4.0328","NO"
"742299216722","https://marmixflex.ru/tproduct/1706353951-742299216722-verona-1","Верона 1","Гибкий мрамор","2 000","за кв.м","","","verona-1","MF-MAR-0126","INCLUDE","2 000","м²","м²","1 sheet","1 sheet","142 × 284 см (1.42 × 2.84 м); площадь 4.0328 м²","","Гибкий мрамор","","NO","hidden until admin assignment","142 × 284","4.0328","NO"
"244835575012","https://marmixflex.ru/tproduct/1706353951-244835575012-verona-2","Верона 2","Гибкий мрамор","2 000","за кв.м","","","verona-2","MF-MAR-0036","INCLUDE","2 000","м²","м²","1 sheet","1 sheet","142 × 284 см (1.42 × 2.84 м); площадь 4.0328 м²","","Гибкий мрамор","","NO","hidden until admin assignment","142 × 284","4.0328","NO"
"176001262662","https://marmixflex.ru/tproduct/1706353951-176001262662-verona-3","Верона 3","Гибкий мрамор","2 000","за кв.м","","","verona-3","MF-MAR-0019","INCLUDE","2 000","м²","м²","1 sheet","1 sheet","142 × 284 см (1.42 × 2.84 м); площадь 4.0328 м²","","Гибкий мрамор","","NO","hidden until admin assignment","142 × 284","4.0328","NO"
